State/UT,Confirmed,Recovered,Deaths,report_date
359,Chandigarh,7,0,0,2020-03-25
360,Jammu and Kashmir,7,1,0,2020-03-25
361,Ladakh,13,0,0,2020-03-25
362,Uttar Pradesh,37,11,0,2020-03-25
363,Uttarakhand,4,0,0,2020-03-25
364,West Bengal,9,0,1,2020-03-25
365,Andaman and Nicobar Islands,1,0,0,2020-03-26
366,Andhra Pradesh,11,1,0,2020-03-26
367,Bihar,6,0,1,2020-03-26
368,Chandigarh,7,0,0,2020-03-26
369,Chhattisgarh,6,0,0,2020-03-26
370,Delhi,36,6,1,2020-03-26
371,Goa,3,0,0,2020-03-26
372,Gujarat,43,0,3,2020-03-26
373,Haryana,30,11,0,2020-03-26
374,Himachal Pradesh,3,0,1,2020-03-26
375,Jammu and Kashmir,13,1,0,2020-03-26
376,Karnataka,55,3,2,2020-03-26
377,Kerala,118,6,0,2020-03-26
378,Ladakh,13,0,0,2020-03-26
379,Madhya Pradesh,20,0,1,2020-03-26
380,Maharashtra,124,1,3,2020-03-26
381,Manipur,1,0,0,2020-03-26
382,Mizoram,1,0,0,2020-03-26
383,Odisha,2,0,0,2020-03-26
384,Puducherry,1,0,0,2020-03-26
385,Punjab,33,0,1,2020-03-26
386,Rajasthan,41,3,0,2020-03-26
387,Tamil Nadu,26,1,1,2020-03-26
388,Telengana,44,1,0,2020-03-26
389,Uttarakhand,5,0,0,2020-03-26
390,Uttar Pradesh,41,11,0,2020-03-26
391,West Bengal,10,0,1,2020-03-26
0,Andaman and Nicobar Islands,1,0,0,2020-03-27
1,Andhra Pradesh,12,1,0,2020-03-27
2,Bihar,6,0,1,2020-03-27
3,Chandigarh,7,0,0,2020-03-27
4,Chhattisgarh,6,0,0,2020-03-27
5,Delhi,36,6,1,2020-03-27
6,Goa,3,0,0,2020-03-27
7,Gujarat,43,0,3,2020-03-27
8,Haryana,30,11,0,2020-03-27
9,Himachal Pradesh,3,0,1,2020-03-27
10,Jammu and Kashmir,13,1,1,2020-03-27
11,Karnataka,55,3,2,2020-03-27
12,Kerala,137,11,0,2020-03-27
13,Ladakh,13,3,0,2020-03-27
14,Madhya Pradesh,20,0,1,2020-03-27
15,Maharashtra,130,15,4,2020-03-27
16,Manipur,1,0,0,2020-03-27
17,Mizoram,1,0,0,2020-03-27
18,Odisha,2,0,0,2020-03-27
19,Puducherry,1,0,0,2020-03-27
20,Punjab,33,0,1,2020-03-27
21,Rajasthan,41,3,0,2020-03-27
22,Tamil Nadu,29,1,1,2020-03-27
23,Telengana,45,1,0,2020-03-27
24,Uttarakhand,5,0,0,2020-03-27
25,Uttar Pradesh,41,11,0,2020-03-27
26,West Bengal,10,0,1,2020-03-27
27,India,724,67,17,2020-03-27
0,Andhra Pradesh,14,1,0,2020-03-28
1,Andaman and Nicobar Islands,6,0,0,2020-03-28
2,Bihar,9,0,1,2020-03-28
3,Chandigarh,8,0,0,2020-03-28
4,Chhattisgarh,6,0,0,2020-03-28
5,Delhi,39,6,1,2020-03-28
6,Goa,3,0,0,2020-03-28
7,Gujarat,45,0,3,2020-03-28
8,Haryana,33,12,0,2020-03-28
9,Himachal Pradesh,3,0,1,2020-03-28
10,Jammu and Kashmir,20,1,1,2020-03-28
11,Karnataka,55,3,2,2020-03-28
12,Kerala,176,11,0,2020-03-28
13,Ladakh,13,3,0,2020-03-28
14,Madhya Pradesh,30,0,2,2020-03-28
15,Maharashtra,180,25,5,2020-03-28
16,Manipur,1,0,0,2020-03-28
17,Mizoram,1,0,0,2020-03-28
18,Odisha,3,0,0,2020-03-28
19,Puducherry,1,0,0,2020-03-28
20,Punjab,38,1,1,2020-03-28
21,Rajasthan,54,3,0,2020-03-28
22,Tamil Nadu,40,2,1,2020-03-28
23,Telengana,56,1,0,2020-03-28
24,Uttarakhand,5,0,0,2020-03-28
25,Uttar Pradesh,55,11,0,2020-03-28
26,West Bengal,15,0,1,2020-03-28
27,India,909,80,19,2020-03-28
0,Andhra Pradesh,14,1,0,2020-03-29
1,Andaman and Nicobar Islands,9,0,0,2020-03-29
2,Bihar,9,0,1,2020-03-29
3,Chandigarh,8,0,0,2020-03-29
4,Chhattisgarh,6,0,0,2020-03-29
5,Delhi,39,6,2,2020-03-29
6,Goa,3,0,0,2020-03-29
7,Gujarat,53,0,4,2020-03-29
8,Haryana,33,12,0,2020-03-29
9,Himachal Pradesh,3,0,1,2020-03-29
10,Jammu and Kashmir,31,1,1,2020-03-29
11,Karnataka,76,5,3,2020-03-29
12,Kerala,182,15,1,2020-03-29
13,Ladakh,13,3,0,2020-03-29
14,Madhya Pradesh,30,0,2,2020-03-29
15,Maharashtra,186,25,6,2020-03-29
16,Manipur,1,0,0,2020-03-29
17,Mizoram,1,0,0,2020-03-29
18,Odisha,3,0,0,2020-03-29
19,Puducherry,1,0,0,2020-03-29
20,Punjab,38,1,1,2020-03-29
21,Rajasthan,54,3,0,2020-03-29
22,Tamil Nadu,42,2,1,2020-03-29
23,Telengana,66,1,1,2020-03-29
24,Uttarakhand,6,1,0,2020-03-29
25,Uttar Pradesh,55,11,0,2020-03-29
26,West Bengal,17,0,1,2020-03-29
27,India,979,87,25,2020-03-29
